"anal9 I11";"cos sin"
"anal9 I12";"carrés"
"anal9 I13";"cas de 1"
"anal9 I14";"famille othogonale"
"anal9 I21";"(u/c)"
"anal9 I22";"(u/s)"
"anal9 I23";"projection orthogonale"
"anal9 II1a";"dérivée ordre n récurrence"
"anal9 II1b";"dévlpt limité arctan"
"anal9 II2a";"arctan x : pi/2 -phi"
"anal9 II2b";"arctan y : (pi - phi)/2"
"anal9 II2c";"y-x=1/sin(phi)"
"anal9 II3";"Taylor reste intégral"
"anal9 II4";"Expression intégrale de R_n"
"anal9 II5";"Changement de v."
"anal9 III1";"il existe un z_n(phi)"
"anal9 III2";"il existe un theta_phi"
"anal9 III3";"dérivée "
"anal9 III4";"suite"
"anal9 III5";"converge vers 0"