"bernou1 1","somme avec des coeffi bin"
"bernou1 2a","expression psi(P)"
"bernou1 2b","psi o phi = psi"
"bernou1 2c","psi(P') = P en 1 - P en 0 "
"bernou1 3au","unicité de la suite de polynônes"
"bernou1 3ae","existence des polynônes de B."
"bernou1 3b1","B1=X-1/2  b1=-1/2"
"bernou1 3b2","B2=X^2-X+1/6 b2=1/6"
"bernou1 3b3","B3=X^3-(3/2)X+(1/2)X b3=0"
"bernou1 3cd","degré de B_n = n"
"bernou1 3cc","coefficient dominant de B_n = 1"
"bernou1 4a","B_n(1) = B_n(0) sauf pour 1"
"bernou1 4b","phi(B) = (-1)^nB_n"
"bernou1 4c","bn=0 si n impair autre que 1"
"bernou1 5a","B_n avec des b_{n-k} et des coeff. bin."
"bernou1 5b","expression b_{2p}"
"bernou1 5","b4 = -1/30"
"bernou1 6","B_n avec des 1/2"
"bernou1 7ap","B_{2p} 2 racines dans [0;1]"
"bernou1 7ai","B_{2p+1} 3 racines dans [0;1]"
"bernou1 7b","sup B_{2p} = |b_{2p}|"
"bernou1 7c","sup B_{2p+1} <= ((2p+1)/2) |b_{2p}|"
"bernou1 8a","B(X+1)-B = nX^{n-1}"
"bernou1 8b","somme k^p =(B_{p+1}(n+1)-B_{p+1}(0))/(p+1)"
"bernou1 8c","somme des k^4"