"integ6 Prel","f_a et g_a 1-lip"
"integ6 I1a","justification intégrabilité"
"integ6 I1b","m_n et M_n entre -1 et 1"
"integ6 I2a1","expression m_{n+1}"
"integ6 I2a2","expression M_{n+1}"
"integ6 I2b","m_{n+1}<=0 M_{n+1}>=0"
"integ6 I3a","expression y_{n+1}-x_{n+1}"
"integ6 I3b","cvgce => lim egales 2sqrt(2)-2"
"integ6 I3c","relations croisées"
"integ6 I4","cvgent vers l-1 et 1-l"
"integ6 II1a","intégrabilité"
"integ6 II1b","u_g(f) continue"
"integ6 II2","u_g(f) pour f =tan^2"
"integ6 II3a","intégrabilité"
"integ6 II3b","v_g(f) continue"
"integ6 II4","endomorphismes"
"integ6 II5a","u_g injectif"
"integ6 II5b","g dérivable => u_g non surjectif"
"integ6 II6a","v_g non surjectif"
"integ6 II6b","g C1 stric croi => v_g injectif"  