"polypos 11","X^2+X+1: pos. + vpos."
"polypos 12","X^2-X+1: vpos. mais pas pos."
"polypos 13","X^2+2X+1/2: pos. mais pas vpos."
"polypos 21","]0;pi/(m+1)[ inclus dans ens."
"polypos 22","ens. inclus dans ]0;pi/(m+1)[ "
"polypos 3a1","D_m est réel"
"polypos 3a2","pos. ssi cos(m+1)phi < 0"
"polypos 3b","polynôme B_m pdt id geom"
"polypos 3c1","b_k=r^{2m-k}sin((k+1)phi)/sin(phi)"
"polypos 3c2","b_{2m-k}=r^{k}sin((k+1)phi)/sin(phi)"
"polypos 3d","existe m tq B_m et D_m positifs"
"polypos 4","existent B et D positifs tq BC=D"